S2 Count,Start_Time(in sec),End_Time(in sec),Image_Dump_Time(in msec),Jitter(in sec)
59,1722092692224.615723,1722092692248.241699,23.625851,-20.549774
60,1722092693204.069580,1722092693215.290771,11.221170,20.546198
61,1722092694204.081299,1722092694215.294434,11.213064,-0.011683
62,1722092695204.076172,1722092695215.282227,11.206150,0.005245
63,1722092696204.059326,1722092696215.264893,11.205435,0.016689
64,1722092697204.041504,1722092697215.212891,11.171341,0.017881
65,1722092698224.637207,1722092698248.156250,23.519039,-20.595789
66,1722092699204.102783,1722092699215.316162,11.213303,20.534515
67,1722092700204.094727,1722092700215.326416,11.231661,0.008106
68,1722092701204.090088,1722092701215.296631,11.206627,0.004530
69,1722092702204.058105,1722092702215.239746,11.181593,0.031948
70,1722092703204.094971,1722092703215.301514,11.206627,-0.036716
71,1722092704224.667969,1722092704247.871094,23.203135,-20.573139
72,1722092705204.078125,1722092705215.288574,11.210442,20.589828
73,1722092706204.079834,1722092706215.286133,11.206388,-0.001669
74,1722092707204.092041,1722092707215.324463,11.232376,-0.012159
75,1722092708204.071045,1722092708215.310303,11.239290,0.020981
76,1722092709204.081299,1722092709215.322266,11.240959,-0.010252
77,1722092710222.314453,1722092710247.571045,25.256634,-18.233061
78,1722092711204.088867,1722092711215.285156,11.196136,18.225431
79,1722092712204.066895,1722092712215.256592,11.189699,0.021935
80,1722092713204.083008,1722092713215.287598,11.204720,-0.015974
81,1722092714204.066162,1722092714215.254639,11.188269,0.016689
82,1722092715204.067627,1722092715215.255615,11.187792,-0.001431
83,1722092716224.617920,1722092716247.323730,22.705793,-20.550251
84,1722092717204.063477,1722092717215.274414,11.210918,20.554543
85,1722092718204.076172,1722092718215.299072,11.223078,-0.012636
86,1722092719204.079102,1722092719215.257080,11.178017,-0.003099
87,1722092720204.068848,1722092720217.274902,13.206005,0.010252
88,1722092721204.056885,1722092721215.275635,11.218548,0.011921
89,1722092722224.640869,1722092722249.828125,25.187254,-20.583868
90,1722092723204.084961,1722092723215.269287,11.184454,20.555973
91,1722092724204.116699,1722092724215.331055,11.214495,-0.031710
92,1722092725204.076660,1722092725215.298096,11.221409,0.039816
93,1722092726204.068604,1722092726215.252197,11.183500,0.008106
94,1722092727204.112549,1722092727217.244385,13.131857,-0.043869
95,1722092728224.676025,1722092728248.184814,23.508787,-20.563602
96,1722092729204.062256,1722092729215.230713,11.168480,20.613909
97,1722092730204.049072,1722092730215.250732,11.201620,0.013113
98,1722092731204.065430,1722092731215.253418,11.188030,-0.016212
99,1722092732204.037598,1722092732216.420898,12.383223,0.027657
100,1722092733204.048828,1722092733217.173828,13.124943,-0.011206
101,1722092734220.717529,1722092734249.473633,28.756142,-16.668558
102,1722092735204.055664,1722092735216.938965,12.883425,16.661882
103,1722092736204.066162,1722092736215.291992,11.225700,-0.010729
104,1722092737204.071533,1722092737215.261719,11.190176,-0.005245
105,1722092738204.068115,1722092738215.266602,11.198521,0.003338
106,1722092739204.066650,1722092739215.278076,11.211395,0.001431
107,1722092740224.585693,1722092740249.740479,25.154591,-20.519018
108,1722092741204.086182,1722092741215.291260,11.205196,20.499706
109,1722092742204.064941,1722092742215.289795,11.224985,0.021219
110,1722092743204.069092,1722092743215.265869,11.196852,-0.004292
111,1722092744204.069580,1722092744217.316650,13.247013,-0.000477
112,1722092745204.055664,1722092745215.265137,11.209249,0.013828
113,1722092746224.603516,1722092746249.741455,25.138140,-20.547628
114,1722092747204.119873,1722092747215.323730,11.203766,20.483494
115,1722092748204.063965,1722092748215.271973,11.208057,0.056028
116,1722092749204.075195,1722092749215.278809,11.203766,-0.011206
117,1722092750204.055176,1722092750215.266602,11.211634,0.020027
118,1722092751204.075684,1722092751215.275635,11.199951,-0.020504
119,1722092752224.625244,1722092752250.434814,25.809526,-20.549774
120,1722092753204.054932,1722092753215.237793,11.183023,20.570517
121,1722092754204.098633,1722092754215.328857,11.230230,-0.043869
122,1722092755204.076172,1722092755215.290283,11.214256,0.022650
123,1722092756204.073975,1722092756215.291748,11.217833,0.002146
124,1722092757204.073975,1722092757215.262451,11.188507,0.000000
125,1722092758220.186768,1722092758249.073242,28.886557,-16.112804
126,1722092759204.075684,1722092759215.280029,11.204481,16.111135
127,1722092760204.063965,1722092760215.239746,11.175871,0.011683
128,1722092761204.058838,1722092761215.265625,11.206627,0.005007
129,1722092762204.051025,1722092762215.246338,11.195421,0.007868
130,1722092763204.091064,1722092763215.309570,11.218548,-0.040054
131,1722092764204.088135,1722092764218.826172,14.738083,0.002861
132,1722092765204.069092,1722092765215.281982,11.212826,0.019073
133,1722092766204.053955,1722092766215.260986,11.207104,0.015259
134,1722092767204.085205,1722092767215.289795,11.204720,-0.031233
135,1722092768204.068115,1722092768215.250244,11.182070,0.016928
136,1722092769219.721436,1722092769244.904297,25.182724,-15.653372
