S1 Count,Start_Time(in sec),End_Time(in sec),Image_Capture_Time(in msec),Jitter(in msec)
92,1722092725193.786865,1722092725203.954102,10.167360,0.025034
93,1722092726193.783691,1722092726203.949463,10.165691,0.003099
94,1722092727193.824463,1722092727203.987793,10.163307,-0.040770
95,1722092728193.938965,1722092728224.387207,30.448198,-0.114441
96,1722092729193.799072,1722092729203.955566,10.156631,0.139952
97,1722092730193.789795,1722092730203.939453,10.149717,0.009298
98,1722092731193.796143,1722092731203.963867,10.167599,-0.006437
99,1722092732193.784668,1722092732203.932373,10.147572,0.011444
100,1722092733193.791260,1722092733203.947021,10.155916,-0.006437
101,1722092734193.929688,1722092734220.544922,26.615143,-0.138521
102,1722092735193.805176,1722092735203.961914,10.156631,0.124454
103,1722092736193.791260,1722092736203.956299,10.165215,0.014067
104,1722092737193.787354,1722092737203.957275,10.169983,0.003815
105,1722092738193.792236,1722092738203.956543,10.164261,-0.005007
106,1722092739193.799561,1722092739203.953857,10.154247,-0.007153
107,1722092740193.911133,1722092740224.332275,30.421257,-0.111580
108,1722092741193.807373,1722092741203.975830,10.168552,0.103712
109,1722092742193.795654,1722092742203.948975,10.153294,0.011683
110,1722092743193.801758,1722092743203.954102,10.152340,-0.006199
111,1722092744193.793213,1722092744203.951660,10.158300,0.008583
112,1722092745193.792969,1722092745203.944336,10.151386,0.000238
113,1722092746193.916504,1722092746224.328369,30.411720,-0.123501
114,1722092747193.817383,1722092747204.018555,10.201216,0.099182
115,1722092748193.790771,1722092748203.954346,10.163784,0.026703
116,1722092749193.796143,1722092749203.958008,10.161877,-0.005484
117,1722092750193.785889,1722092750203.943848,10.157824,0.010252
118,1722092751193.800781,1722092751203.961426,10.160685,-0.014782
119,1722092752193.911865,1722092752224.360352,30.448675,-0.111103
120,1722092753193.786377,1722092753203.942871,10.156393,0.125408
121,1722092754193.820068,1722092754203.983643,10.163546,-0.033617
122,1722092755193.800293,1722092755203.953857,10.153532,0.019789
123,1722092756193.794434,1722092756203.956543,10.162115,0.005722
124,1722092757193.791748,1722092757203.957031,10.165453,0.002861
125,1722092758193.917480,1722092758220.015869,26.098251,-0.125885
126,1722092759193.795898,1722092759203.960693,10.164738,0.121593
127,1722092760193.792480,1722092760203.952637,10.159969,0.003338
128,1722092761193.786377,1722092761203.943115,10.156631,0.006199
129,1722092762193.782959,1722092762203.939941,10.156870,0.003338
130,1722092763193.808350,1722092763203.976074,10.167837,-0.025272
131,1722092764193.792725,1722092764203.973145,10.180235,0.015497
132,1722092765193.790039,1722092765203.954346,10.164499,0.002861
133,1722092766193.785400,1722092766203.939453,10.154009,0.004530
134,1722092767193.800293,1722092767203.967041,10.166883,-0.014782
