S4 Count,Start_Time(in sec),End_Time(in sec),Image_Dump_Time(in msec),Jitter(in sec)
118,1722092751215.408203,1722092751217.281738,1.873493,-0.012636
119,1722092752250.613525,1722092752253.184814,2.571344,-35.205126
120,1722092753215.372803,1722092753217.190674,1.817942,35.240650
121,1722092754215.476807,1722092754217.317627,1.840830,-0.103951
122,1722092755215.433594,1722092755217.256348,1.822710,0.043154
123,1722092756215.441406,1722092756217.254883,1.813412,-0.007868
124,1722092757215.404541,1722092757217.250977,1.846552,0.036955
125,1722092758249.292725,1722092758252.764160,3.471613,-33.888102
126,1722092759215.414062,1722092759217.169434,1.755476,33.878565
127,1722092760215.389893,1722092760217.144287,1.754284,0.024080
128,1722092761215.400391,1722092761217.192871,1.792431,-0.010490
129,1722092762215.372070,1722092762217.223145,1.851082,0.028372
130,1722092763215.438721,1722092763217.234619,1.796007,-0.066519
131,1722092764218.960693,1722092764220.754639,1.793861,-3.522158
132,1722092765215.421387,1722092765217.145996,1.724482,3.539324
133,1722092766215.405029,1722092766217.314697,1.909733,0.016451
134,1722092767215.420166,1722092767217.272461,1.852274,-0.015259
135,1722092768215.385986,1722092768217.171875,1.785994,0.034332
136,1722092769245.089355,1722092769248.056641,2.967358,-29.703379
137,1722092770215.404053,1722092770217.212158,1.808167,29.685259
138,1722092771215.425781,1722092771217.347412,1.921654,-0.021696
139,1722092772215.390869,1722092772217.258789,1.867771,0.034809
140,1722092773215.389893,1722092773217.282227,1.892328,0.000954
141,1722092774215.419678,1722092774217.268555,1.848698,-0.029802
142,1722092775250.102783,1722092775253.484375,3.381729,-34.682989
143,1722092776215.428711,1722092776217.336914,1.908302,34.674168
144,1722092777215.392090,1722092777217.209717,1.817703,0.036478
145,1722092778215.425537,1722092778217.191650,1.766205,-0.033379
146,1722092779215.413818,1722092779217.313477,1.899719,0.011683
147,1722092780217.434082,1722092780219.123291,1.689196,-2.020359
148,1722092781250.575928,1722092781253.417480,2.841473,-33.141851
149,1722092782215.406250,1722092782217.161377,1.755238,35.169840
150,1722092783215.397461,1722092783217.341064,1.943827,0.008821
151,1722092784215.390625,1722092784217.347900,1.957178,0.006676
152,1722092785215.413086,1722092785217.200928,1.787901,-0.022411
153,1722092786215.423340,1722092786217.308350,1.884937,-0.010252
154,1722092787250.857910,1722092787254.435303,3.577471,-35.434484
155,1722092788215.458008,1722092788217.222900,1.765013,35.399914
156,1722092789215.405029,1722092789217.336670,1.931667,0.052929
157,1722092790215.455322,1722092790217.179688,1.724482,-0.050306
158,1722092791215.454346,1722092791217.221924,1.767635,0.000954
159,1722092792215.591797,1722092792217.367188,1.775265,-0.137568
160,1722092793253.899414,1722092793256.540039,2.640724,-38.307428
161,1722092794215.452148,1722092794217.360840,1.908541,38.447142
162,1722092795216.123535,1722092795218.007324,1.883745,-0.671387
163,1722092796215.384766,1722092796217.166260,1.781464,0.738859
164,1722092797215.438965,1722092797217.363770,1.924992,-0.054121
165,1722092798215.436523,1722092798217.234375,1.797915,0.002384
166,1722092799249.841064,1722092799253.421631,3.580570,-34.404516
167,1722092800215.406738,1722092800217.178223,1.771688,34.434319
168,1722092801215.424805,1722092801217.193604,1.768827,-0.018120
169,1722092802215.413330,1722092802217.266113,1.852751,0.011444
170,1722092803215.422363,1722092803217.373047,1.950741,-0.009060
171,1722092804218.449707,1722092804220.205811,1.756191,-3.027201
172,1722092805258.476318,1722092805262.618652,4.142284,-40.026665
173,1722092806215.395508,1722092806217.369141,1.973629,43.080807
174,1722092807215.453369,1722092807217.397461,1.944065,-0.057936
175,1722092808215.423096,1722092808217.266113,1.842976,0.030279
176,1722092809215.430420,1722092809217.258789,1.828194,-0.007391
177,1722092810215.400146,1722092810217.299561,1.899242,0.030279
178,1722092811250.682129,1722092811253.114502,2.432346,-35.281897
179,1722092812215.418945,1722092812217.361572,1.942635,35.263062
180,1722092813215.544678,1722092813217.524170,1.979589,-0.125647
